# data source: Hansul, S., Fettweis, A., Smolders, E., & Schamphelaere, K. D. (2024). Extrapolating metal (Cu, Ni, Zn) toxicity from individuals to populations across Daphnia species using mechanistic models: The roles of uncertainty propagation and combined physiological modes of action. Environmental Toxicology and Chemistry, 43(2), 338-358.
# treatment: treatment label
# Ni_nM: Ni2+ free ion activities, calculated via WHAM (see paper for details) [nM]
# tday: time since birth [d]
# num_surviving: number of surviving animals [#]
# num_valid_reps: number of valid experimental replicates [#]
# fraction_surviving: fraction of survivors [-]
treatment,Ni_nM,tday,num_surviving,num_valid_reps,fraction_surviving
Ni1,46.02,2,10,10,1.0
Ni2,98.2,2,10,10,1.0
Co,4.364,2,8,8,1.0
Ni5,1962.0,2,10,10,1.0
Ni3,285.8,2,10,10,1.0
Ni4,789.4,2,10,10,1.0
Ni1,46.02,5,10,10,1.0
Ni2,98.2,5,10,10,1.0
Co,4.364,5,8,8,1.0
Ni5,1962.0,5,7,10,0.7
Ni3,285.8,5,10,10,1.0
Ni4,789.4,5,9,10,0.9
Ni1,46.02,7,10,10,1.0
Ni2,98.2,7,10,10,1.0
Co,4.364,7,8,8,1.0
Ni5,1962.0,7,6,10,0.6
Ni3,285.8,7,10,10,1.0
Ni4,789.4,7,9,10,0.9
Ni1,46.02,9,10,10,1.0
Ni2,98.2,9,10,10,1.0
Co,4.364,9,8,8,1.0
Ni5,1962.0,9,6,10,0.6
Ni3,285.8,9,10,10,1.0
Ni4,789.4,9,9,10,0.9
Ni1,46.02,12,10,10,1.0
Ni2,98.2,12,10,10,1.0
Co,4.364,12,7,8,0.875
Ni5,1962.0,12,2,10,0.2
Ni3,285.8,12,10,10,1.0
Ni4,789.4,12,9,10,0.9
Ni1,46.02,14,10,10,1.0
Ni2,98.2,14,10,10,1.0
Co,4.364,14,7,8,0.875
Ni5,1962.0,14,2,10,0.2
Ni3,285.8,14,10,10,1.0
Ni4,789.4,14,9,10,0.9
Ni1,46.02,16,10,10,1.0
Ni2,98.2,16,10,10,1.0
Co,4.364,16,7,8,0.875
Ni5,1962.0,16,2,10,0.2
Ni3,285.8,16,10,10,1.0
Ni4,789.4,16,8,10,0.8
Ni1,46.02,19,10,10,1.0
Ni2,98.2,19,10,10,1.0
Co,4.364,19,7,8,0.875
Ni5,1962.0,19,0,10,0.0
Ni3,285.8,19,9,10,0.9
Ni4,789.4,19,7,10,0.7
Ni1,46.02,21,10,10,1.0
Ni2,98.2,21,10,10,1.0
Co,4.364,21,7,8,0.875
Ni5,1962.0,21,0,10,0.0
Ni3,285.8,21,9,10,0.9
Ni4,789.4,21,7,10,0.7
